LL List Numbers,LL List Words,Short Long List Numbers,Short Long Words,SS List Numbers,SS List Words,12-Bit List Numbers,12-Bit List Word,11-Bit List Number,11-Bit List Word,Reinhold Index Number,Reinhold Index Word
63112,tubular,,,,,,,,,63112,vessel
63113,tucking,,,,,,,,,63113,vest
63114,tuesday,,,,,,,,,63114,vet
63115,tug,,,,,,,,,63115,vetch
63116,tuition,,,,,,,,,63116,veto
63121,tulip,,,,,,,,,63121,vex
63122,tumble,,,,,,,,,63122,vf
63123,tumbling,,,,,,,,,63123,vg
63124,tummy,,,,,,,,,63124,vh
63125,turban,,,,,,,,,63125,vi
63126,turbine,,,,,,,,,63126,via
63131,turbofan,,,,,,,,,63131,vial
63132,turbojet,,,,,,,,,63132,vicar
63133,turbulent,,,,,,,,,63133,vice
63134,turf,,,,,,,,,63134,vichy
63135,turkey,,,,,,,,,63135,vicky
63136,turmoil,,,,,,,,,63136,vida
63141,turret,,,,,,,,,63141,video
63142,turtle,,,,,,,,,63142,vie
63143,tusk,,,,,,,,,63143,viet
63144,tutor,,,,,,,,,63144,view
63145,tutu,,,,,,,,,63145,vigil
63146,tux,,,,,,,,,63146,vii
63151,tweak,,,,,,,,,63151,viii
63152,tweed,,,,,,,,,63152,vile
63153,tweet,,,,,,,,,63153,villa
63154,tweezers,,,,,,,,,63154,vine
63155,twelve,,,,,,,,,63155,vinyl
63156,twentieth,,,,,,,,,63156,viola
63161,twenty,,,,,,,,,63161,violet
63162,twerp,,,,,,,,,63162,virgil
63163,twice,,,,,,,,,63163,virgo
63164,twiddle,,,,,,,,,63164,virus
63165,twiddling,,,,,,,,,63165,vis
63166,twig,,,,,,,,,63166,visa
63211,twilight,,,,,,,,,63211,vise
63212,twine,,,,,,,,,63212,visit
63213,twins,,,,,,,,,63213,visor
63214,twirl,,,,,,,,,63214,vista
63215,twistable,,,,,,,,,63215,vita
63216,twisted,,,,,,,,,63216,vitae
63221,twister,,,,,,,,,63221,vital
63222,twisting,,,,,,,,,63222,vito
63223,twisty,,,,,,,,,63223,vitro
63224,twitch,,,,,,,,,63224,viva
63225,twitter,,,,,,,,,63225,vivian
63226,tycoon,,,,,,,,,63226,vivid
63231,tying,,,,,,,,,63231,vivo
63232,tyke,,,,,,,,,63232,vixen
63233,udder,,,,,,,,,63233,viz
63234,ultimate,,,,,,,,,63234,vj
63235,ultimatum,,,,,,,,,63235,vk
63236,ultra,,,,,,,,,63236,vl
63241,umbilical,,,,,,,,,63241,vm
63242,umbrella,,,,,,,,,63242,vn
63243,umpire,,,,,,,,,63243,vo
63244,unabashed,,,,,,,,,63244,vocal
63245,unable,,,,,,,,,63245,vogel
63246,unadorned,,,,,,,,,63246,vogue
63251,unadvised,,,,,,,,,63251,voice
63252,unafraid,,,,,,,,,63252,void
63253,unaired,,,,,,,,,63253,volt
63254,unaligned,,,,,,,,,63254,volta
63255,unaltered,,,,,,,,,63255,volvo
63256,unarmored,,,,,,,,,63256,vomit
63261,unashamed,,,,,,,,,63261,von
